	Transliteration	Normalized
20611	Pu-zu	Puzu[]PN
20612	Pu-zu-a	Puzuʾa[]PN
20613	Pu-zu-zu	Puzuzu[]PN
20614	Pu-zu-zu-mu	Puzuzuŋu[]PN
20615	Pu-šu-DINGIR	Pu.šu.DINGIR[]PN
20616	Pu-šu-du10	Pušudug[]PN
20617	Pu-šu-ki-in	Pušukin[]PN
20618	Pu-šu-ki-in-ta	Pušukin[]PN
20619	Pu-šu{ki}-in	Pušuin[]SN
20620	Pu2-si4-mu	Pusiŋu[]PN
20621	Pu2-si4-mu-ta	Pusiŋu[]PN
20622	Pu2-ta	Pu[]PN
20623	Pu3-KA-du11-ga	Pu₃.KA.dug₄.ga[]PN
20624	Pu3-da-da	Pudada[]PN
20625	Pu3-ga	Puga[]PN
20626	Pu3-ga-ti	Pugati[]PN
20627	Pu3-ki2-na-ti	Pukinati[]PN
20628	Pu3-lu-lu	Pululu[]PN
20629	Pu3-ma	Puma[]PN
20630	Pu3-mu	Puŋu[]PN
20631	Pu3-na-na	Punana[]PN
20632	Pu3-pu3	Pupu[]PN
20633	Pu3-su2-num2	Pusunum[]PN
20634	Pu3-tum2	Putum[]PN
20635	Pu3-u2-ṣi2	Puṣi[]PN
20636	Pu3-um-wa-qar	Pumwaqar[]PN
20637	Pu3-ze-e	Puzee[]PN
20638	Pu3-zi-ha	Puziha[]PN
20639	Pu3-zi-ri2	Puziri[]PN
20640	Pu3-zu-lum	Puzulum[]PN
20641	Pu3-zu-nu-um	Puzunum[]PN
20642	Pu3-zu-u3-zu	Puzuzu[]PN
20643	Pu3-zu-zu	Puzuzu[]PN
20644	Pu3-zu2-Ma-am3	Pu₃.zu₂.Ma.am₃[]PN
20645	Pu3-zu2-Ma-ma	Pu₃.zu₂.Ma.ma[]PN
20646	Pu3-zu2-i3-li2	Puzuʾili[]PN
20647	Pu3-zu2-li2-a	Puzuliʾa[]PN
20648	Pu3-zu2-ur2-Ha-ia3	Pu₃.zu₂.ur₂.Ha.iʾa₃[]PN
20649	Pu3-šu	Pušu[]PN
20650	Pu3-šu-ki-in	Pušukin[]PN
20651	Pu3-šu-ki-in-ta	Pušukin[]PN
20652	Pu4-da	Puda[]PN
20653	Pu4-ka-nam-ta	Pukanam[]PN
20654	Pu5-KA-i3-li2	Pu₅.KA.i₃.li₂[]PN
20655	Pu5-ma-DINGIR	Pu₅.ma.DINGIR[]PN
20656	Pu5-ma-DINGIR-e	Pu₅.ma.DINGIR.e[]PN
20657	Pu5-ma-DINGIR-ta	Pu₅.ma.DINGIR[]PN
